,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
genetic,5000256,65934,1833894,5000256,5000256,5000256,51919,55446,5000256,1962343,300473,5000256,90466,5000256,38949,5000256,175649,36047,5000256,54638,5000256,5000256,32888,5000256,5000256,5000256,5000256,11626,43104,5000256,5000256,5000256,5000256,45974,5000256,5000256,44920,61710,5000256,5000256,5000256,5000256,5000256,52011,5000256,5000256,5000256,5000256,111050,5000256
annealing,5000001,1411988,5000001,1238622,5000001,5000001,1265395,1450383,5000001,1281357,1084357,621064,1040709,5000001,5000001,1381314,5000001,1175571,5000001,5000001,5000001,5000001,1509057,5000001,1631830,5000001,5000001,5000001,5000001,5000001,5000001,1442029,5000001,5000001,861258,5000001,5000001,940714,1250205,1438560,1146254,1472901,1510448,1399984,1322201,5000001,5000001,1358309,5000001,5000001
