,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
genetic,10341,154,3918,10608,11202,11070,143,142,11369,4193,668,10270,197,10315,115,10720,373,113,10993,136,10677,10629,101,10920,10733,10685,9198,59,107,10370,10913,10357,10296,108,10397,10341,111,161,10682,10472,10150,10628,11528,139,10882,10902,10585,10924,221,10417
annealing,1556,478,1625,446,1595,1539,447,535,1637,458,370,229,372,1607,1618,511,1631,417,1540,1553,1523,1600,520,1584,554,1475,1568,1599,1563,1396,1600,498,1469,1531,309,1589,1550,350,429,477,391,520,519,494,463,1622,1507,451,1526,1522
