,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50
genetic,10604.0,10618.0,10570.0,10604.0,10604.0,10604.0,10618.0,10618.0,10604.0,10605.0,10618.0,10604.0,10618.0,10604.0,10618.0,10604.0,10618.0,10618.0,10604.0,10618.0,10604.0,10604.0,10618.0,10604.0,10604.0,10604.0,10604.0,10618.0,10618.0,10604.0,10604.0,10604.0,10604.0,10618.0,10604.0,10604.0,10618.0,10618.0,10604.0,10604.0,10604.0,10604.0,10588.0,10618.0,10604.0,10604.0,10604.0,10556.0,10618.0,10604.0
annealing,10547.0,10507.0,10521.0,10540.0,10508.0,10535.0,10505.0,10481.0,10519.0,10470.0,10527.0,10557.0,10509.0,10499.0,10562.0,10555.0,10530.0,10560.0,10493.0,10556.0,10508.0,10515.0,10513.0,10510.0,10485.0,10510.0,10531.0,10549.0,10482.0,10448.0,10513.0,10504.0,10537.0,10517.0,10527.0,10489.0,10559.0,10547.0,10514.0,10473.0,10565.0,10563.0,10506.0,10500.0,10528.0,10489.0,10531.0,10528.0,10549.0,10491.0
